[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/05/11 01:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 02:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 03:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 04:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 05:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 06:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 07:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 08:00:00,No.24SC,7,94T012       ,200,0,0,0,1
2020/05/11 09:00:00,No.24SC,7,94T012       ,200,81,0,0,1
2020/05/11 10:00:00,No.24SC,7,94T012       ,200,210,5940,0,1
2020/05/11 11:00:00,No.24SC,7,94T012       ,200,215,6058,0,1
2020/05/11 12:00:00,No.24SC,7,94T012       ,200,81,7551,0,1
2020/05/11 13:00:00,No.24SC,7,94T012       ,200,81,1,0,1
2020/05/11 13:06:10,No.24SC,7,94T012       ,200,81,0,0,1
2020/05/11 14:00:00,No.24SC,21,06T019       ,150,81,5243,0,1
2020/05/11 15:00:00,No.24SC,21,06T019       ,150,150,7920,0,1
2020/05/11 16:00:00,No.24SC,21,06T019       ,150,150,7951,0,1
2020/05/11 17:00:00,No.24SC,21,06T019       ,150,150,7259,0,1
2020/05/11 18:00:00,No.24SC,21,06T019       ,150,81,3001,0,1
2020/05/11 19:00:00,No.24SC,21,06T019       ,150,81,0,0,1
2020/05/11 19:17:56,No.24SC,21,06T019       ,150,81,0,0,1
2020/05/11 20:00:00,No.24SC,6,99T008       ,150,150,2551,0,1
2020/05/11 21:00:00,No.24SC,6,99T008       ,150,149,5671,0,1
2020/05/11 22:00:00,No.24SC,6,99T008       ,150,149,6906,0,1
2020/05/11 23:00:00,No.24SC,6,99T008       ,150,149,6269,0,1
2020/05/12 00:00:00,No.24SC,6,99T008       ,150,81,252,0,1
