[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/05/12 01:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 02:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 03:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 04:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 05:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 06:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 07:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 08:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/05/12 08:37:49,No.24SC,6,99T008       ,150,0,0,0,1
2020/05/12 09:00:00,No.24SC,5,06T025       ,150,150,1054,0,1
2020/05/12 10:00:00,No.24SC,5,06T025       ,150,149,1465,0,1
2020/05/12 11:00:00,No.24SC,5,06T025       ,150,149,7202,0,1
2020/05/12 12:00:00,No.24SC,5,06T025       ,150,159,6758,0,1
2020/05/12 13:00:00,No.24SC,5,06T025       ,150,81,3294,0,1
2020/05/12 14:00:00,No.24SC,5,06T025       ,150,149,7698,0,1
2020/05/12 15:00:00,No.24SC,5,06T025       ,150,150,7792,0,1
2020/05/12 16:00:00,No.24SC,5,06T025       ,150,149,7196,0,1
2020/05/12 17:00:00,No.24SC,5,06T025       ,150,150,7518,0,1
2020/05/12 18:00:00,No.24SC,5,06T025       ,150,81,270,0,1
2020/05/12 19:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/05/12 20:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/05/12 20:13:14,No.24SC,5,06T025       ,150,81,0,0,1
2020/05/12 21:00:00,No.24SC,2,13T001       ,200,10,222,0,1
2020/05/12 22:00:00,No.24SC,2,13T001       ,200,200,5401,0,1
2020/05/12 23:00:00,No.24SC,2,13T001       ,200,201,8785,0,1
2020/05/13 00:00:00,No.24SC,2,13T001       ,200,213,2673,0,1
