[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/05/13 01:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 02:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 03:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 04:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 05:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 06:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 07:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 08:00:00,No.24SC,2,13T001       ,200,213,0,0,1
2020/05/13 09:00:00,No.24SC,2,13T001       ,200,200,3962,0,1
2020/05/13 10:00:00,No.24SC,2,13T001       ,200,201,10154,0,1
2020/05/13 11:00:00,No.24SC,2,13T001       ,200,201,9962,0,1
2020/05/13 12:00:00,No.24SC,2,13T001       ,200,213,9281,0,1
2020/05/13 13:00:00,No.24SC,2,13T001       ,200,81,1003,0,1
2020/05/13 14:00:00,No.24SC,2,13T001       ,200,0,885,0,1
2020/05/13 15:00:00,No.24SC,2,13T001       ,200,0,7229,0,1
2020/05/13 16:00:00,No.24SC,2,13T001       ,200,201,9511,0,1
2020/05/13 17:00:00,No.24SC,2,13T001       ,200,201,7624,0,1
2020/05/13 18:00:00,No.24SC,2,13T001       ,200,201,8292,0,1
2020/05/13 19:00:00,No.24SC,2,13T001       ,200,200,3338,0,1
2020/05/13 20:00:00,No.24SC,2,13T001       ,200,201,10924,0,1
2020/05/13 21:00:00,No.24SC,2,13T001       ,200,201,10110,0,1
2020/05/13 22:00:00,No.24SC,2,13T001       ,200,81,10384,0,1
2020/05/13 23:00:00,No.24SC,2,13T001       ,200,201,9535,0,1
2020/05/14 00:00:00,No.24SC,2,13T001       ,200,0,2032,0,1
