[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/06/12 01:00:00,No.24SC,5,06T025       ,150,133,1593,0,1
2020/06/12 02:00:00,No.24SC,5,06T025       ,150,149,6491,0,1
2020/06/12 03:00:00,No.24SC,5,06T025       ,150,157,7438,0,1
2020/06/12 04:00:00,No.24SC,5,06T025       ,150,159,6951,0,1
2020/06/12 05:00:00,No.24SC,5,06T025       ,150,80,7291,0,1
2020/06/12 06:00:00,No.24SC,5,06T025       ,150,81,4608,0,1
2020/06/12 07:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/06/12 08:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/06/12 08:52:47,No.24SC,5,06T025       ,150,81,1,0,1
2020/06/12 09:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/06/12 10:00:00,No.24SC,6,99T008       ,150,81,4074,0,1
2020/06/12 11:00:00,No.24SC,6,99T008       ,150,150,5094,0,1
2020/06/12 12:00:00,No.24SC,6,99T008       ,150,81,3606,0,1
2020/06/12 13:00:00,No.24SC,6,99T008       ,150,81,0,0,1
2020/06/12 13:30:08,No.24SC,6,99T008       ,150,81,0,0,1
2020/06/12 14:00:00,No.24SC,22,15T019       ,200,81,48,0,1
2020/06/12 15:00:00,No.24SC,22,15T019       ,200,201,929,0,1
2020/06/12 16:00:00,No.24SC,22,15T019       ,200,201,3215,0,1
2020/06/12 17:00:00,No.24SC,22,15T019       ,200,0,1738,0,1
2020/06/12 18:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/12 19:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/12 20:00:00,No.24SC,22,15T019       ,200,181,2588,0,1
2020/06/12 21:00:00,No.24SC,22,15T019       ,200,181,9685,0,1
2020/06/12 22:00:00,No.24SC,22,15T019       ,200,181,10032,0,1
2020/06/12 23:00:00,No.24SC,22,15T019       ,200,0,9455,0,1
2020/06/13 00:00:00,No.24SC,22,15T019       ,200,181,9653,0,1
