[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/07/14 09:00:00,No.24SC,23,17T005       ,200,81,1,0,1
2020/07/14 10:00:00,No.24SC,23,17T005       ,200,81,36,0,1
2020/07/14 11:00:00,No.24SC,23,17T005       ,200,0,19,0,1
2020/07/14 12:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 13:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 14:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 15:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 16:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 17:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 18:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 19:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 20:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 21:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 22:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/14 23:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 00:00:00,No.24SC,23,17T005       ,200,0,0,0,1
