[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/07/15 01:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 02:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 03:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 04:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 05:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 06:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 07:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 08:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/07/15 09:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/07/15 10:00:00,No.24SC,23,17T005       ,200,182,93,0,1
2020/07/15 11:00:00,No.24SC,23,17T005       ,200,201,7657,0,1
2020/07/15 12:00:00,No.24SC,23,17T005       ,200,213,8602,0,1
2020/07/15 13:00:00,No.24SC,23,17T005       ,200,201,4319,0,1
2020/07/15 14:00:00,No.24SC,23,17T005       ,200,0,8418,0,1
2020/07/15 15:00:00,No.24SC,23,17T005       ,200,213,7078,0,1
2020/07/15 16:00:00,No.24SC,23,17T005       ,200,201,8967,0,1
2020/07/15 17:00:00,No.24SC,23,17T005       ,200,213,10170,0,1
2020/07/15 18:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/15 19:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/15 20:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/15 21:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/15 22:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/15 23:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 00:00:00,No.24SC,23,17T005       ,200,213,0,0,1
