[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/07/16 01:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 02:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 03:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 04:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 05:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 06:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 07:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 08:00:00,No.24SC,23,17T005       ,200,213,0,0,1
2020/07/16 09:00:00,No.24SC,23,17T005       ,200,201,1302,0,1
2020/07/16 10:00:00,No.24SC,23,17T005       ,200,81,763,0,1
2020/07/16 11:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/07/16 11:06:25,No.24SC,23,17T005       ,200,81,0,0,1
2020/07/16 12:00:00,No.24SC,22,15T019       ,200,83,3084,0,1
2020/07/16 13:00:00,No.24SC,22,15T019       ,200,190,4414,0,1
2020/07/16 14:00:00,No.24SC,22,15T019       ,200,191,9853,0,1
2020/07/16 15:00:00,No.24SC,22,15T019       ,200,191,10245,0,1
2020/07/16 16:00:00,No.24SC,22,15T019       ,200,191,9723,0,1
2020/07/16 17:00:00,No.24SC,22,15T019       ,200,81,9650,0,1
2020/07/16 18:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/07/16 19:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/07/16 20:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/07/16 21:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/07/16 22:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/07/16 23:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/07/17 00:00:00,No.24SC,22,15T019       ,200,81,0,0,1
