[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/08/03 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 09:00:00,No.24SC,2,13T001       ,200,191,3295,0,1
2020/08/03 10:00:00,No.24SC,2,13T001       ,200,0,9010,0,1
2020/08/03 11:00:00,No.24SC,2,13T001       ,200,201,6282,0,1
2020/08/03 12:00:00,No.24SC,2,13T001       ,200,83,9119,0,1
2020/08/03 13:00:00,No.24SC,2,13T001       ,200,201,4437,0,1
2020/08/03 14:00:00,No.24SC,2,13T001       ,200,201,10845,0,1
2020/08/03 15:00:00,No.24SC,2,13T001       ,200,201,9571,0,1
2020/08/03 16:00:00,No.24SC,2,13T001       ,200,201,10987,0,1
2020/08/03 17:00:00,No.24SC,2,13T001       ,200,81,8961,0,1
2020/08/03 18:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 19:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/03 20:00:00,No.24SC,2,13T001       ,200,201,10622,0,1
2020/08/03 21:00:00,No.24SC,2,13T001       ,200,201,10170,0,1
2020/08/03 22:00:00,No.24SC,2,13T001       ,200,201,11108,0,1
2020/08/03 23:00:00,No.24SC,2,13T001       ,200,200,10044,0,1
2020/08/04 00:00:00,No.24SC,2,13T001       ,200,200,11074,0,1
