[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/08/06 01:00:00,No.24SC,2,13T001       ,200,213,323,0,1
2020/08/06 02:00:00,No.24SC,2,13T001       ,200,201,9733,0,1
2020/08/06 03:00:00,No.24SC,2,13T001       ,200,0,4357,0,1
2020/08/06 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/06 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/06 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/06 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/06 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/08/06 09:00:00,No.24SC,2,13T001       ,200,82,2901,0,1
2020/08/06 10:00:00,No.24SC,2,13T001       ,200,201,7300,0,1
2020/08/06 11:00:00,No.24SC,2,13T001       ,200,201,7419,0,1
2020/08/06 12:00:00,No.24SC,2,13T001       ,200,201,11045,0,1
2020/08/06 13:00:00,No.24SC,2,13T001       ,200,201,4611,0,1
2020/08/06 14:00:00,No.24SC,2,13T001       ,200,200,9941,0,1
2020/08/06 15:00:00,No.24SC,2,13T001       ,200,201,10735,0,1
2020/08/06 16:00:00,No.24SC,2,13T001       ,200,81,9088,0,1
2020/08/06 17:00:00,No.24SC,2,13T001       ,200,81,14,0,1
2020/08/06 18:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/08/06 18:29:44,No.24SC,2,13T001       ,200,81,0,0,1
2020/08/06 19:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2020/08/06 20:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2020/08/06 21:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2020/08/06 21:48:26,No.24SC,15,14T034       ,200,81,0,0,1
2020/08/06 22:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2020/08/06 23:00:00,No.24SC,15,14T034       ,200,200,5446,0,1
2020/08/07 00:00:00,No.24SC,15,14T034       ,200,0,9104,0,1
