[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/08/19 01:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/08/19 02:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/08/19 02:25:38,No.24SC,5,06T025       ,150,81,0,0,1
2020/08/19 03:00:00,No.24SC,22,15T019       ,200,83,360,0,1
2020/08/19 04:00:00,No.24SC,22,15T019       ,200,81,5559,0,1
2020/08/19 05:00:00,No.24SC,22,15T019       ,200,180,6035,0,1
2020/08/19 06:00:00,No.24SC,22,15T019       ,200,81,5725,0,1
2020/08/19 07:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/08/19 08:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/08/19 09:00:00,No.24SC,22,15T019       ,200,201,1113,0,1
2020/08/19 10:00:00,No.24SC,22,15T019       ,200,50,8701,0,1
2020/08/19 11:00:00,No.24SC,22,15T019       ,200,0,9055,0,1
2020/08/19 12:00:00,No.24SC,22,15T019       ,200,201,5911,0,1
2020/08/19 13:00:00,No.24SC,22,15T019       ,200,0,2328,0,1
2020/08/19 14:00:00,No.24SC,22,15T019       ,200,81,29,0,1
2020/08/19 15:00:00,No.24SC,22,15T019       ,200,81,0,0,1
2020/08/19 16:00:00,No.24SC,22,15T019       ,200,191,5301,0,1
2020/08/19 17:00:00,No.24SC,22,15T019       ,200,201,8746,0,1
2020/08/19 18:00:00,No.24SC,22,15T019       ,200,201,0,0,1
2020/08/19 19:00:00,No.24SC,22,15T019       ,200,201,0,0,1
2020/08/19 20:00:00,No.24SC,22,15T019       ,200,4,4811,0,1
2020/08/19 21:00:00,No.24SC,22,15T019       ,200,181,7836,0,1
2020/08/19 22:00:00,No.24SC,22,15T019       ,200,191,5339,0,1
2020/08/19 23:00:00,No.24SC,22,15T019       ,200,191,10450,0,1
2020/08/20 00:00:00,No.24SC,22,15T019       ,200,190,10086,0,1
