[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/10/23 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 09:00:00,No.24SC,2,13T001       ,200,213,50,0,1
2020/10/23 10:00:00,No.24SC,2,13T001       ,200,81,1666,0,1
2020/10/23 11:00:00,No.24SC,2,13T001       ,200,81,57,0,1
2020/10/23 12:00:00,No.24SC,2,13T001       ,200,81,1,0,1
2020/10/23 13:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/10/23 14:00:00,No.24SC,2,13T001       ,200,201,2523,0,1
2020/10/23 15:00:00,No.24SC,2,13T001       ,200,213,9653,0,1
2020/10/23 16:00:00,No.24SC,2,13T001       ,200,200,6629,0,1
2020/10/23 17:00:00,No.24SC,2,13T001       ,200,0,8277,0,1
2020/10/23 18:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 19:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/10/23 20:00:00,No.24SC,2,13T001       ,200,98,7743,0,1
2020/10/23 21:00:00,No.24SC,2,13T001       ,200,201,11009,0,1
2020/10/23 22:00:00,No.24SC,2,13T001       ,200,201,9904,0,1
2020/10/23 23:00:00,No.24SC,2,13T001       ,200,37,10675,0,1
2020/10/24 00:00:00,No.24SC,2,13T001       ,200,201,8876,0,1
