[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/11/10 01:00:00,No.24SC,5,06T025       ,150,0,1951,0,1
2020/11/10 02:00:00,No.24SC,5,06T025       ,150,159,5220,0,1
2020/11/10 03:00:00,No.24SC,5,06T025       ,150,149,2186,0,1
2020/11/10 04:00:00,No.24SC,5,06T025       ,150,0,5644,0,1
2020/11/10 05:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/11/10 06:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/11/10 07:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/11/10 08:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/11/10 09:00:00,No.24SC,5,06T025       ,150,150,3309,0,1
2020/11/10 10:00:00,No.24SC,5,06T025       ,150,149,7273,0,1
2020/11/10 11:00:00,No.24SC,5,06T025       ,150,149,4984,0,1
2020/11/10 12:00:00,No.24SC,5,06T025       ,150,81,2885,0,1
2020/11/10 13:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2020/11/10 13:12:25,No.24SC,5,06T025       ,150,81,0,0,1
2020/11/10 14:00:00,No.24SC,14,14T033       ,200,191,1637,0,1
2020/11/10 15:00:00,No.24SC,14,14T033       ,200,81,8695,0,1
2020/11/10 16:00:00,No.24SC,14,14T033       ,200,201,9181,0,1
2020/11/10 17:00:00,No.24SC,14,14T033       ,200,201,10342,0,1
2020/11/10 18:00:00,No.24SC,14,14T033       ,200,201,8600,0,1
2020/11/10 19:00:00,No.24SC,14,14T033       ,200,81,2828,0,1
2020/11/10 19:03:27,No.24SC,14,14T033       ,200,81,0,0,1
2020/11/10 20:00:00,No.24SC,11,259          ,200,200,2112,0,1
2020/11/10 21:00:00,No.24SC,11,259          ,200,200,9149,0,1
2020/11/10 22:00:00,No.24SC,11,259          ,200,103,7461,0,1
2020/11/10 23:00:00,No.24SC,11,259          ,200,81,3716,0,1
2020/11/10 23:25:09,No.24SC,11,259          ,200,81,0,0,1
2020/11/11 00:00:00,No.24SC,7,94T012       ,200,200,3425,0,1
