[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/11/14 01:00:00,No.24SC,22,15T019       ,200,213,1334,0,1
2020/11/14 02:00:00,No.24SC,22,15T019       ,200,201,9603,0,1
2020/11/14 03:00:00,No.24SC,22,15T019       ,200,201,10907,0,1
2020/11/14 04:00:00,No.24SC,22,15T019       ,200,0,9454,0,1
2020/11/14 05:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/11/14 06:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/11/14 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/11/14 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/11/14 09:00:00,No.24SC,22,15T019       ,200,201,4844,0,1
2020/11/14 10:00:00,No.24SC,22,15T019       ,200,0,9416,0,1
2020/11/14 11:00:00,No.24SC,22,15T019       ,200,201,1532,0,1
2020/11/14 12:00:00,No.24SC,22,15T019       ,200,201,10788,0,1
2020/11/14 13:00:00,No.24SC,22,15T019       ,200,201,2831,0,1
2020/11/14 14:00:00,No.24SC,22,15T019       ,200,201,10482,0,1
2020/11/14 15:00:00,No.24SC,22,15T019       ,200,0,10001,0,1
2020/11/14 16:00:00,No.24SC,22,15T019       ,200,201,10196,0,1
2020/11/14 17:00:00,No.24SC,22,15T019       ,200,213,8777,0,1
2020/11/14 18:00:00,No.24SC,22,15T019       ,200,213,0,0,1
2020/11/14 19:00:00,No.24SC,22,15T019       ,200,213,0,0,1
2020/11/14 20:00:00,No.24SC,22,15T019       ,200,213,0,0,1
2020/11/14 21:00:00,No.24SC,22,15T019       ,200,213,0,0,1
2020/11/14 22:00:00,No.24SC,22,15T019       ,200,213,0,0,1
2020/11/14 23:00:00,No.24SC,22,15T019       ,200,213,0,0,1
2020/11/15 00:00:00,No.24SC,22,15T019       ,200,213,0,0,1
