[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/12/24 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/12/24 09:00:00,No.24SC,2,13T001       ,200,200,5356,0,1
2020/12/24 10:00:00,No.24SC,2,13T001       ,200,201,8868,0,1
2020/12/24 11:00:00,No.24SC,2,13T001       ,200,201,10678,0,1
2020/12/24 12:00:00,No.24SC,2,13T001       ,200,82,8479,0,1
2020/12/24 13:00:00,No.24SC,2,13T001       ,200,81,5080,0,1
2020/12/24 14:00:00,No.24SC,2,13T001       ,200,200,10091,0,1
2020/12/24 15:00:00,No.24SC,2,13T001       ,200,201,9949,0,1
2020/12/24 16:00:00,No.24SC,2,13T001       ,200,200,10857,0,1
2020/12/24 17:00:00,No.24SC,2,13T001       ,200,201,8968,0,1
2020/12/24 18:00:00,No.24SC,2,13T001       ,200,200,10033,0,1
2020/12/24 19:00:00,No.24SC,2,13T001       ,200,201,10127,0,1
2020/12/24 20:00:00,No.24SC,2,13T001       ,200,200,9635,0,1
2020/12/24 21:00:00,No.24SC,2,13T001       ,200,82,2162,0,1
2020/12/24 22:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2020/12/24 23:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2020/12/25 00:00:00,No.24SC,2,13T001       ,200,82,0,0,1
