[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/01/08 01:00:00,No.24SC,11,259          ,200,82,1051,0,1
2021/01/08 02:00:00,No.24SC,11,259          ,200,0,4924,0,1
2021/01/08 03:00:00,No.24SC,11,259          ,200,82,7120,0,1
2021/01/08 04:00:00,No.24SC,11,259          ,200,0,1124,0,1
2021/01/08 05:00:00,No.24SC,11,259          ,200,0,0,0,1
2021/01/08 06:00:00,No.24SC,11,259          ,200,0,0,0,1
2021/01/08 07:00:00,No.24SC,11,259          ,200,0,0,0,1
2021/01/08 08:00:00,No.24SC,11,259          ,200,0,0,0,1
2021/01/08 09:00:00,No.24SC,11,259          ,200,0,0,0,1
2021/01/08 10:00:00,No.24SC,11,259          ,200,81,1,0,1
2021/01/08 11:00:00,No.24SC,11,259          ,200,81,0,0,1
2021/01/08 12:00:00,No.24SC,11,259          ,200,81,0,0,1
2021/01/08 13:00:00,No.24SC,11,259          ,200,81,0,0,1
2021/01/08 14:00:00,No.24SC,11,259          ,200,81,0,0,1
2021/01/08 15:00:00,No.24SC,11,259          ,200,81,0,0,1
2021/01/08 15:17:08,No.24SC,11,259          ,200,81,0,0,1
2021/01/08 16:00:00,No.24SC,9,13T012       ,200,212,1043,0,1
2021/01/08 17:00:00,No.24SC,9,13T012       ,200,0,6500,0,1
2021/01/08 18:00:00,No.24SC,9,13T012       ,200,0,0,0,1
2021/01/08 19:00:00,No.24SC,9,13T012       ,200,0,0,0,1
2021/01/08 20:00:00,No.24SC,9,13T012       ,200,81,7441,0,1
2021/01/08 21:00:00,No.24SC,9,13T012       ,200,81,8084,0,1
2021/01/08 21:58:48,No.24SC,9,13T012       ,200,81,1,0,1
2021/01/08 22:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2021/01/08 23:00:00,No.24SC,5,06T025       ,150,149,3272,0,1
2021/01/09 00:00:00,No.24SC,5,06T025       ,150,149,7062,0,1
