[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/05 01:00:00,No.24SC,5,06T025       ,150,159,1880,0,1
2021/02/05 02:00:00,No.24SC,5,06T025       ,150,159,7632,0,1
2021/02/05 03:00:00,No.24SC,5,06T025       ,150,149,6786,0,1
2021/02/05 04:00:00,No.24SC,5,06T025       ,150,149,7640,0,1
2021/02/05 05:00:00,No.24SC,5,06T025       ,150,149,7651,0,1
2021/02/05 06:00:00,No.24SC,5,06T025       ,150,90,4010,0,1
2021/02/05 07:00:00,No.24SC,5,06T025       ,150,90,0,0,1
2021/02/05 08:00:00,No.24SC,5,06T025       ,150,90,0,0,1
2021/02/05 09:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2021/02/05 10:00:00,No.24SC,5,06T025       ,150,149,4103,0,1
2021/02/05 11:00:00,No.24SC,5,06T025       ,150,149,6373,0,1
2021/02/05 12:00:00,No.24SC,5,06T025       ,150,159,6053,0,1
2021/02/05 13:00:00,No.24SC,5,06T025       ,150,81,312,0,1
2021/02/05 14:00:00,No.24SC,5,06T025       ,150,81,0,0,1
2021/02/05 14:07:19,No.24SC,5,06T025       ,150,81,0,0,1
2021/02/05 15:00:00,No.24SC,20,5076         ,150,0,3431,0,1
2021/02/05 16:00:00,No.24SC,20,5076         ,150,0,0,0,1
2021/02/05 17:00:00,No.24SC,20,5076         ,150,0,1576,0,1
2021/02/05 18:00:00,No.24SC,20,5076         ,150,0,0,0,1
2021/02/05 19:00:00,No.24SC,20,5076         ,150,0,0,0,1
2021/02/05 20:00:00,No.24SC,20,5076         ,150,81,5148,0,1
2021/02/05 21:00:00,No.24SC,20,5076         ,150,159,2239,0,1
2021/02/05 22:00:00,No.24SC,20,5076         ,150,150,3434,0,1
2021/02/05 23:00:00,No.24SC,20,5076         ,150,150,6099,0,1
2021/02/06 00:00:00,No.24SC,20,5076         ,150,81,1530,0,1
