[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/09 01:00:00,No.24SC,15,14T034       ,200,201,8567,0,1
2021/02/09 02:00:00,No.24SC,15,14T034       ,200,200,5114,0,1
2021/02/09 03:00:00,No.24SC,15,14T034       ,200,210,6468,0,1
2021/02/09 04:00:00,No.24SC,15,14T034       ,200,201,10358,0,1
2021/02/09 05:00:00,No.24SC,15,14T034       ,200,177,10473,0,1
2021/02/09 06:00:00,No.24SC,15,14T034       ,200,0,5719,0,1
2021/02/09 07:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/09 08:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/09 09:00:00,No.24SC,15,14T034       ,200,81,3248,0,1
2021/02/09 10:00:00,No.24SC,15,14T034       ,200,200,9547,0,1
2021/02/09 11:00:00,No.24SC,15,14T034       ,200,201,9912,0,1
2021/02/09 12:00:00,No.24SC,15,14T034       ,200,201,10198,0,1
2021/02/09 13:00:00,No.24SC,15,14T034       ,200,81,2794,0,1
2021/02/09 14:00:00,No.24SC,15,14T034       ,200,81,1,0,1
2021/02/09 15:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/09 16:00:00,No.24SC,15,14T034       ,200,81,363,0,1
2021/02/09 17:00:00,No.24SC,15,14T034       ,200,0,2350,0,1
2021/02/09 18:00:00,No.24SC,15,14T034       ,200,190,837,0,1
2021/02/09 19:00:00,No.24SC,15,14T034       ,200,81,747,0,1
2021/02/09 20:00:00,No.24SC,15,14T034       ,200,213,317,0,1
2021/02/09 21:00:00,No.24SC,15,14T034       ,200,200,4846,0,1
2021/02/09 22:00:00,No.24SC,15,14T034       ,200,213,2109,0,1
2021/02/09 23:00:00,No.24SC,15,14T034       ,200,81,1391,0,1
2021/02/10 00:00:00,No.24SC,15,14T034       ,200,0,2356,0,1
