[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/12 01:00:00,No.24SC,15,14T034       ,200,180,351,0,1
2021/02/12 02:00:00,No.24SC,15,14T034       ,200,180,9842,0,1
2021/02/12 03:00:00,No.24SC,15,14T034       ,200,180,8591,0,1
2021/02/12 04:00:00,No.24SC,15,14T034       ,200,180,9180,0,1
2021/02/12 05:00:00,No.24SC,15,14T034       ,200,180,9929,0,1
2021/02/12 06:00:00,No.24SC,15,14T034       ,200,0,4551,0,1
2021/02/12 07:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/12 08:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/12 09:00:00,No.24SC,15,14T034       ,200,180,3147,0,1
2021/02/12 10:00:00,No.24SC,15,14T034       ,200,181,9649,0,1
2021/02/12 11:00:00,No.24SC,15,14T034       ,200,180,7802,0,1
2021/02/12 12:00:00,No.24SC,15,14T034       ,200,191,7585,0,1
2021/02/12 13:00:00,No.24SC,15,14T034       ,200,8,4376,0,1
2021/02/12 14:00:00,No.24SC,15,14T034       ,200,180,8869,0,1
2021/02/12 15:00:00,No.24SC,15,14T034       ,200,181,9740,0,1
2021/02/12 16:00:00,No.24SC,15,14T034       ,200,180,8787,0,1
2021/02/12 17:00:00,No.24SC,15,14T034       ,200,191,9251,0,1
2021/02/12 18:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/12 19:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/12 20:00:00,No.24SC,15,14T034       ,200,181,5187,0,1
2021/02/12 21:00:00,No.24SC,15,14T034       ,200,181,9899,0,1
2021/02/12 22:00:00,No.24SC,15,14T034       ,200,188,8497,0,1
2021/02/12 23:00:00,No.24SC,15,14T034       ,200,180,6502,0,1
2021/02/13 00:00:00,No.24SC,15,14T034       ,200,80,9079,0,1
