[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/13 01:00:00,No.24SC,15,14T034       ,200,180,2225,0,1
2021/02/13 02:00:00,No.24SC,15,14T034       ,200,190,9048,0,1
2021/02/13 03:00:00,No.24SC,15,14T034       ,200,190,10046,0,1
2021/02/13 04:00:00,No.24SC,15,14T034       ,200,0,6119,0,1
2021/02/13 05:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/13 06:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/13 07:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/13 08:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/13 09:00:00,No.24SC,15,14T034       ,200,81,1,0,1
2021/02/13 10:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/13 10:11:10,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/13 11:00:00,No.24SC,18,10T015       ,200,81,72,0,1
2021/02/13 12:00:00,No.24SC,18,10T015       ,200,213,7562,0,1
2021/02/13 13:00:00,No.24SC,18,10T015       ,200,81,293,0,1
2021/02/13 14:00:00,No.24SC,18,10T015       ,200,201,7812,0,1
2021/02/13 15:00:00,No.24SC,18,10T015       ,200,212,9484,0,1
2021/02/13 16:00:00,No.24SC,18,10T015       ,200,201,9267,0,1
2021/02/13 17:00:00,No.24SC,18,10T015       ,200,202,9982,0,1
2021/02/13 18:00:00,No.24SC,18,10T015       ,200,202,0,0,1
2021/02/13 19:00:00,No.24SC,18,10T015       ,200,202,0,0,1
2021/02/13 20:00:00,No.24SC,18,10T015       ,200,202,0,0,1
2021/02/13 21:00:00,No.24SC,18,10T015       ,200,202,0,0,1
2021/02/13 22:00:00,No.24SC,18,10T015       ,200,202,0,0,1
2021/02/13 23:00:00,No.24SC,18,10T015       ,200,202,0,0,1
2021/02/14 00:00:00,No.24SC,18,10T015       ,200,202,0,0,1
