[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/24 01:00:00,No.24SC,24,19T001       ,200,200,253,0,1
2021/02/24 02:00:00,No.24SC,24,19T001       ,200,200,10824,0,1
2021/02/24 03:00:00,No.24SC,24,19T001       ,200,200,9785,0,1
2021/02/24 04:00:00,No.24SC,24,19T001       ,200,212,10920,0,1
2021/02/24 05:00:00,No.24SC,24,19T001       ,200,200,9896,0,1
2021/02/24 06:00:00,No.24SC,24,19T001       ,200,0,5991,0,1
2021/02/24 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/24 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/24 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/24 10:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/24 11:00:00,No.24SC,24,19T001       ,200,200,5300,0,1
2021/02/24 12:00:00,No.24SC,24,19T001       ,200,82,8770,0,1
2021/02/24 13:00:00,No.24SC,24,19T001       ,200,200,4122,0,1
2021/02/24 14:00:00,No.24SC,24,19T001       ,200,0,10408,0,1
2021/02/24 15:00:00,No.24SC,24,19T001       ,200,82,9089,0,1
2021/02/24 16:00:00,No.24SC,24,19T001       ,200,200,8865,0,1
2021/02/24 17:00:00,No.24SC,24,19T001       ,200,201,9576,0,1
2021/02/24 18:00:00,No.24SC,24,19T001       ,200,201,7589,0,1
2021/02/24 19:00:00,No.24SC,24,19T001       ,200,200,10617,0,1
2021/02/24 20:00:00,No.24SC,24,19T001       ,200,200,8334,0,1
2021/02/24 21:00:00,No.24SC,24,19T001       ,200,200,10932,0,1
2021/02/24 22:00:00,No.24SC,24,19T001       ,200,200,8357,0,1
2021/02/24 23:00:00,No.24SC,24,19T001       ,200,201,8199,0,1
2021/02/25 00:00:00,No.24SC,24,19T001       ,200,200,11029,0,1
