[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/25 01:00:00,No.24SC,24,19T001       ,200,81,2,0,1
2021/02/25 02:00:00,No.24SC,24,19T001       ,200,200,7841,0,1
2021/02/25 03:00:00,No.24SC,24,19T001       ,200,201,11028,0,1
2021/02/25 04:00:00,No.24SC,24,19T001       ,200,200,9878,0,1
2021/02/25 05:00:00,No.24SC,24,19T001       ,200,201,11005,0,1
2021/02/25 06:00:00,No.24SC,24,19T001       ,200,0,5623,0,1
2021/02/25 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/25 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/25 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/25 10:00:00,No.24SC,24,19T001       ,200,200,2581,0,1
2021/02/25 11:00:00,No.24SC,24,19T001       ,200,200,8397,0,1
2021/02/25 12:00:00,No.24SC,24,19T001       ,200,212,6689,0,1
2021/02/25 13:00:00,No.24SC,24,19T001       ,200,134,3500,0,1
2021/02/25 14:00:00,No.24SC,24,19T001       ,200,81,3696,0,1
2021/02/25 15:00:00,No.24SC,24,19T001       ,200,82,3180,0,1
2021/02/25 16:00:00,No.24SC,24,19T001       ,200,0,6900,0,1
2021/02/25 17:00:00,No.24SC,24,19T001       ,200,201,9593,0,1
2021/02/25 18:00:00,No.24SC,24,19T001       ,200,200,7247,0,1
2021/02/25 19:00:00,No.24SC,24,19T001       ,200,201,9476,0,1
2021/02/25 20:00:00,No.24SC,24,19T001       ,200,81,1017,0,1
2021/02/25 21:00:00,No.24SC,24,19T001       ,200,201,4263,0,1
2021/02/25 22:00:00,No.24SC,24,19T001       ,200,200,7781,0,1
2021/02/25 23:00:00,No.24SC,24,19T001       ,200,200,8995,0,1
2021/02/26 00:00:00,No.24SC,24,19T001       ,200,81,4493,0,1
