[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/02 01:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 02:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 03:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 04:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 05:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 06:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 10:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/03/02 11:00:00,No.24SC,24,19T001       ,200,190,1803,0,1
2021/03/02 12:00:00,No.24SC,24,19T001       ,200,213,10363,0,1
2021/03/02 13:00:00,No.24SC,24,19T001       ,200,200,4319,0,1
2021/03/02 14:00:00,No.24SC,24,19T001       ,200,200,10903,0,1
2021/03/02 15:00:00,No.24SC,24,19T001       ,200,201,9845,0,1
2021/03/02 16:00:00,No.24SC,24,19T001       ,200,201,10849,0,1
2021/03/02 17:00:00,No.24SC,24,19T001       ,200,201,9696,0,1
2021/03/02 18:00:00,No.24SC,24,19T001       ,200,201,10921,0,1
2021/03/02 19:00:00,No.24SC,24,19T001       ,200,201,6570,0,1
2021/03/02 20:00:00,No.24SC,24,19T001       ,200,201,9012,0,1
2021/03/02 21:00:00,No.24SC,24,19T001       ,200,201,10671,0,1
2021/03/02 22:00:00,No.24SC,24,19T001       ,200,81,2059,0,1
2021/03/02 23:00:00,No.24SC,24,19T001       ,200,81,1,0,1
2021/03/03 00:00:00,No.24SC,24,19T001       ,200,81,0,0,1
