[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/06 01:00:00,No.24SC,5,06T025       ,150,149,3429,0,1
2021/03/06 02:00:00,No.24SC,5,06T025       ,150,80,7132,0,1
2021/03/06 03:00:00,No.24SC,5,06T025       ,150,151,7473,0,1
2021/03/06 04:00:00,No.24SC,5,06T025       ,150,99,6762,0,1
2021/03/06 05:00:00,No.24SC,5,06T025       ,150,99,0,0,1
2021/03/06 06:00:00,No.24SC,5,06T025       ,150,99,0,0,1
2021/03/06 07:00:00,No.24SC,5,06T025       ,150,99,0,0,1
2021/03/06 08:00:00,No.24SC,5,06T025       ,150,99,0,0,1
2021/03/06 09:00:00,No.24SC,5,06T025       ,150,149,3693,0,1
2021/03/06 10:00:00,No.24SC,5,06T025       ,150,81,6526,0,1
2021/03/06 10:58:33,No.24SC,5,06T025       ,150,81,1,0,1
2021/03/06 11:00:00,No.24SC,19,14T006       ,200,81,0,0,1
2021/03/06 12:00:00,No.24SC,19,14T006       ,200,180,6359,0,1
2021/03/06 13:00:00,No.24SC,19,14T006       ,200,190,4930,0,1
2021/03/06 14:00:00,No.24SC,19,14T006       ,200,201,10366,0,1
2021/03/06 15:00:00,No.24SC,19,14T006       ,200,201,10558,0,1
2021/03/06 16:00:00,No.24SC,19,14T006       ,200,0,9287,0,1
2021/03/06 17:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/06 18:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/06 19:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/06 20:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/06 21:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/06 22:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/06 23:00:00,No.24SC,19,14T006       ,200,0,0,0,1
2021/03/07 00:00:00,No.24SC,19,14T006       ,200,0,0,0,1
