[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/23 01:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 02:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 03:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 04:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 05:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 06:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 07:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 08:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/23 09:00:00,No.24SC,2,13T001       ,200,82,1005,0,1
2021/03/23 10:00:00,No.24SC,2,13T001       ,200,201,8218,0,1
2021/03/23 11:00:00,No.24SC,2,13T001       ,200,201,9421,0,1
2021/03/23 12:00:00,No.24SC,2,13T001       ,200,82,8897,0,1
2021/03/23 13:00:00,No.24SC,2,13T001       ,200,200,4605,0,1
2021/03/23 14:00:00,No.24SC,2,13T001       ,200,81,10169,0,1
2021/03/23 15:00:00,No.24SC,2,13T001       ,200,82,9238,0,1
2021/03/23 16:00:00,No.24SC,2,13T001       ,200,200,9319,0,1
2021/03/23 17:00:00,No.24SC,2,13T001       ,200,201,9586,0,1
2021/03/23 18:00:00,No.24SC,2,13T001       ,200,197,8446,0,1
2021/03/23 19:00:00,No.24SC,2,13T001       ,200,201,9436,0,1
2021/03/23 20:00:00,No.24SC,2,13T001       ,200,0,2041,0,1
2021/03/23 21:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/23 22:00:00,No.24SC,2,13T001       ,200,200,2720,0,1
2021/03/23 23:00:00,No.24SC,2,13T001       ,200,200,9308,0,1
2021/03/24 00:00:00,No.24SC,2,13T001       ,200,213,10637,0,1
