[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/05/14 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/14 09:00:00,No.24SC,2,13T001       ,200,201,3517,0,1
2020/05/14 10:00:00,No.24SC,2,13T001       ,200,0,10241,0,1
2020/05/14 11:00:00,No.24SC,2,13T001       ,200,200,7971,0,1
2020/05/14 12:00:00,No.24SC,2,13T001       ,200,213,9258,0,1
2020/05/14 13:00:00,No.24SC,2,13T001       ,200,200,4569,0,1
2020/05/14 14:00:00,No.24SC,2,13T001       ,200,200,6389,0,1
2020/05/14 15:00:00,No.24SC,2,13T001       ,200,201,9372,0,1
2020/05/14 16:00:00,No.24SC,2,13T001       ,200,201,9794,0,1
2020/05/14 17:00:00,No.24SC,2,13T001       ,200,201,9253,0,1
2020/05/14 18:00:00,No.24SC,2,13T001       ,200,201,9831,0,1
2020/05/14 19:00:00,No.24SC,2,13T001       ,200,0,3040,0,1
2020/05/14 20:00:00,No.24SC,2,13T001       ,200,201,10040,0,1
2020/05/14 21:00:00,No.24SC,2,13T001       ,200,81,2876,0,1
2020/05/14 22:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/05/14 23:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/15 00:00:00,No.24SC,2,13T001       ,200,0,0,0,1
