[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/05/20 01:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 02:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 03:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 04:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 05:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 06:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 09:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/05/20 10:00:00,No.24SC,22,15T019       ,200,201,877,0,1
2020/05/20 11:00:00,No.24SC,22,15T019       ,200,201,6502,0,1
2020/05/20 12:00:00,No.24SC,22,15T019       ,200,213,7142,0,1
2020/05/20 13:00:00,No.24SC,22,15T019       ,200,201,5357,0,1
2020/05/20 14:00:00,No.24SC,22,15T019       ,200,201,9775,0,1
2020/05/20 15:00:00,No.24SC,22,15T019       ,200,201,10953,0,1
2020/05/20 16:00:00,No.24SC,22,15T019       ,200,201,10488,0,1
2020/05/20 17:00:00,No.24SC,22,15T019       ,200,201,8974,0,1
2020/05/20 18:00:00,No.24SC,22,15T019       ,200,201,9585,0,1
2020/05/20 19:00:00,No.24SC,22,15T019       ,200,201,3593,0,1
2020/05/20 20:00:00,No.24SC,22,15T019       ,200,201,11084,0,1
2020/05/20 21:00:00,No.24SC,22,15T019       ,200,0,9972,0,1
2020/05/20 22:00:00,No.24SC,22,15T019       ,200,201,8488,0,1
2020/05/20 23:00:00,No.24SC,22,15T019       ,200,81,7921,0,1
2020/05/21 00:00:00,No.24SC,22,15T019       ,200,0,1012,0,1
