[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/05/29 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/05/29 09:00:00,No.24SC,2,13T001       ,200,201,4876,0,1
2020/05/29 10:00:00,No.24SC,2,13T001       ,200,201,9621,0,1
2020/05/29 11:00:00,No.24SC,2,13T001       ,200,201,11033,0,1
2020/05/29 12:00:00,No.24SC,2,13T001       ,200,213,9398,0,1
2020/05/29 13:00:00,No.24SC,2,13T001       ,200,200,4558,0,1
2020/05/29 14:00:00,No.24SC,2,13T001       ,200,201,11004,0,1
2020/05/29 15:00:00,No.24SC,2,13T001       ,200,201,8634,0,1
2020/05/29 16:00:00,No.24SC,2,13T001       ,200,201,10796,0,1
2020/05/29 17:00:00,No.24SC,2,13T001       ,200,201,9428,0,1
2020/05/29 18:00:00,No.24SC,2,13T001       ,200,201,10372,0,1
2020/05/29 19:00:00,No.24SC,2,13T001       ,200,201,1971,0,1
2020/05/29 20:00:00,No.24SC,2,13T001       ,200,81,9643,0,1
2020/05/29 21:00:00,No.24SC,2,13T001       ,200,201,8546,0,1
2020/05/29 22:00:00,No.24SC,2,13T001       ,200,81,8470,0,1
2020/05/29 23:00:00,No.24SC,2,13T001       ,200,201,9879,0,1
2020/05/30 00:00:00,No.24SC,2,13T001       ,200,213,2087,0,1
