[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/06/11 01:00:00,No.24SC,12,06T019       ,200,81,9,0,1
2020/06/11 02:00:00,No.24SC,12,06T019       ,200,156,5999,0,1
2020/06/11 03:00:00,No.24SC,12,06T019       ,200,150,8000,0,1
2020/06/11 04:00:00,No.24SC,12,06T019       ,200,150,7429,0,1
2020/06/11 05:00:00,No.24SC,12,06T019       ,200,150,7937,0,1
2020/06/11 06:00:00,No.24SC,12,06T019       ,200,0,3351,0,1
2020/06/11 07:00:00,No.24SC,12,06T019       ,200,0,0,0,1
2020/06/11 08:00:00,No.24SC,12,06T019       ,200,0,0,0,1
2020/06/11 09:00:00,No.24SC,12,06T019       ,200,150,1827,0,1
2020/06/11 10:00:00,No.24SC,12,06T019       ,200,81,7348,0,1
2020/06/11 11:00:00,No.24SC,12,06T019       ,200,81,3522,0,1
2020/06/11 11:35:00,No.24SC,12,06T019       ,200,81,0,0,1
2020/06/11 12:00:00,No.24SC,5,06T025       ,150,81,55,0,1
2020/06/11 13:00:00,No.24SC,5,06T025       ,150,149,2332,0,1
2020/06/11 14:00:00,No.24SC,5,06T025       ,150,149,6410,0,1
2020/06/11 15:00:00,No.24SC,5,06T025       ,150,149,7724,0,1
2020/06/11 16:00:00,No.24SC,5,06T025       ,150,81,6298,0,1
2020/06/11 17:00:00,No.24SC,5,06T025       ,150,0,6228,0,1
2020/06/11 18:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/06/11 19:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/06/11 20:00:00,No.24SC,5,06T025       ,150,81,5452,0,1
2020/06/11 21:00:00,No.24SC,5,06T025       ,150,152,7307,0,1
2020/06/11 22:00:00,No.24SC,5,06T025       ,150,149,7666,0,1
2020/06/11 23:00:00,No.24SC,5,06T025       ,150,149,6586,0,1
2020/06/12 00:00:00,No.24SC,5,06T025       ,150,149,6775,0,1
