[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/06/16 01:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 02:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 03:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 04:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 05:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 06:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2020/06/16 09:00:00,No.24SC,22,15T019       ,200,0,3931,0,1
2020/06/16 10:00:00,No.24SC,22,15T019       ,200,186,8900,0,1
2020/06/16 11:00:00,No.24SC,22,15T019       ,200,186,9912,0,1
2020/06/16 12:00:00,No.24SC,22,15T019       ,200,196,7807,0,1
2020/06/16 13:00:00,No.24SC,22,15T019       ,200,186,4334,0,1
2020/06/16 14:00:00,No.24SC,22,15T019       ,200,190,10162,0,1
2020/06/16 15:00:00,No.24SC,22,15T019       ,200,201,9689,0,1
2020/06/16 16:00:00,No.24SC,22,15T019       ,200,190,7580,0,1
2020/06/16 17:00:00,No.24SC,22,15T019       ,200,81,9456,0,1
2020/06/16 18:00:00,No.24SC,22,15T019       ,200,190,9026,0,1
2020/06/16 19:00:00,No.24SC,22,15T019       ,200,190,10322,0,1
2020/06/16 20:00:00,No.24SC,22,15T019       ,200,191,10071,0,1
2020/06/16 21:00:00,No.24SC,22,15T019       ,200,201,8440,0,1
2020/06/16 22:00:00,No.24SC,22,15T019       ,200,190,6620,0,1
2020/06/16 23:00:00,No.24SC,22,15T019       ,200,190,10220,0,1
2020/06/17 00:00:00,No.24SC,22,15T019       ,200,0,51,0,1
