[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/06/25 01:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 02:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 03:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 04:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/06/25 09:00:00,No.24SC,2,13T001       ,200,0,1078,0,1
2020/06/25 10:00:00,No.24SC,2,13T001       ,200,81,1,0,1
2020/06/25 11:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/06/25 11:59:59,No.24SC,2,13T001       ,200,81,0,0,1
2020/06/25 12:59:59,No.24SC,2,13T001       ,200,81,0,0,1
2020/06/25 14:00:00,No.24SC,2,13T001       ,200,201,971,0,1
2020/06/25 15:00:00,No.24SC,2,13T001       ,200,201,9677,0,1
2020/06/25 16:00:00,No.24SC,2,13T001       ,200,201,10984,0,1
2020/06/25 17:00:00,No.24SC,2,13T001       ,200,0,10196,0,1
2020/06/25 18:00:00,No.24SC,2,13T001       ,200,201,10204,0,1
2020/06/25 19:00:00,No.24SC,2,13T001       ,200,0,3402,0,1
2020/06/25 20:00:00,No.24SC,2,13T001       ,200,201,8373,0,1
2020/06/25 21:00:00,No.24SC,2,13T001       ,200,201,9983,0,1
2020/06/25 22:00:00,No.24SC,2,13T001       ,200,201,9730,0,1
2020/06/25 23:00:00,No.24SC,2,13T001       ,200,200,7623,0,1
2020/06/26 00:00:00,No.24SC,2,13T001       ,200,9,2180,0,1
