[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/07/01 01:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 02:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 03:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 04:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 05:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 06:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 07:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 08:00:00,No.24SC,18,10T015       ,200,213,0,0,1
2020/07/01 09:00:00,No.24SC,18,10T015       ,200,201,2264,0,1
2020/07/01 10:00:00,No.24SC,18,10T015       ,200,201,6951,0,1
2020/07/01 11:00:00,No.24SC,18,10T015       ,200,201,9698,0,1
2020/07/01 12:00:00,No.24SC,18,10T015       ,200,213,8224,0,1
2020/07/01 13:00:00,No.24SC,18,10T015       ,200,201,5720,0,1
2020/07/01 14:00:00,No.24SC,18,10T015       ,200,201,8619,0,1
2020/07/01 15:00:00,No.24SC,18,10T015       ,200,81,8086,0,1
2020/07/01 16:00:00,No.24SC,18,10T015       ,200,81,0,0,1
2020/07/01 16:18:46,No.24SC,18,10T015       ,200,81,0,0,1
2020/07/01 16:18:53,No.24SC,2,13T001       ,200,81,0,0,1
2020/07/01 17:00:00,No.24SC,7,94T012       ,200,80,45,0,1
2020/07/01 18:00:00,No.24SC,7,94T012       ,200,201,2105,0,1
2020/07/01 19:00:00,No.24SC,7,94T012       ,200,193,4864,0,1
2020/07/01 20:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/01 21:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/01 22:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/01 23:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 00:00:00,No.24SC,7,94T012       ,200,193,0,0,1
