[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/07/02 01:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 02:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 03:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 04:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 05:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 06:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 07:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 08:00:00,No.24SC,7,94T012       ,200,193,0,0,1
2020/07/02 09:00:00,No.24SC,7,94T012       ,200,201,2907,0,1
2020/07/02 10:00:00,No.24SC,7,94T012       ,200,201,10154,0,1
2020/07/02 11:00:00,No.24SC,7,94T012       ,200,201,7839,0,1
2020/07/02 12:00:00,No.24SC,7,94T012       ,200,213,8125,0,1
2020/07/02 13:00:00,No.24SC,7,94T012       ,200,81,2417,0,1
2020/07/02 14:00:00,No.24SC,7,94T012       ,200,201,9018,0,1
2020/07/02 14:48:22,No.24SC,7,94T012       ,200,81,2962,0,1
2020/07/02 14:59:59,No.24SC,14,14T033       ,200,81,0,0,1
2020/07/02 16:00:00,No.24SC,14,14T033       ,200,201,7543,0,1
2020/07/02 17:00:00,No.24SC,14,14T033       ,200,201,9054,0,1
2020/07/02 18:00:00,No.24SC,14,14T033       ,200,201,9424,0,1
2020/07/02 19:00:00,No.24SC,14,14T033       ,200,0,7065,0,1
2020/07/02 20:00:00,No.24SC,14,14T033       ,200,0,0,0,1
2020/07/02 21:00:00,No.24SC,14,14T033       ,200,0,0,0,1
2020/07/02 22:00:00,No.24SC,14,14T033       ,200,0,0,0,1
2020/07/02 23:00:00,No.24SC,14,14T033       ,200,0,0,0,1
2020/07/03 00:00:00,No.24SC,14,14T033       ,200,0,0,0,1
