[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/07/27 09:00:00,No.24SC,18,10T015       ,200,0,0,0,1
2020/07/27 09:30:05,No.24SC,18,10T015       ,200,0,0,0,1
2020/07/27 10:00:00,No.24SC,24,,78,81,57,0,1
2020/07/27 11:00:00,No.24SC,24,,78,81,221,0,1
2020/07/27 12:00:00,No.24SC,24,,78,81,1168,0,1
2020/07/27 13:00:00,No.24SC,24,,78,81,0,0,1
2020/07/27 14:00:00,No.24SC,24,,78,81,731,0,1
2020/07/27 15:00:00,No.24SC,24,,78,81,345,0,1
2020/07/27 16:00:00,No.24SC,24,,78,81,1,0,1
2020/07/27 17:00:00,No.24SC,24,,78,81,466,0,1
2020/07/27 18:00:00,No.24SC,24,,78,81,0,0,1
2020/07/27 19:00:00,No.24SC,24,,78,81,0,0,1
2020/07/27 19:29:30,No.24SC,24,,78,81,0,0,1
2020/07/27 20:00:00,No.24SC,2,13T001       ,200,81,79,0,1
2020/07/27 21:00:00,No.24SC,2,13T001       ,200,190,7485,0,1
2020/07/27 22:00:00,No.24SC,2,13T001       ,200,72,10253,0,1
2020/07/27 23:00:00,No.24SC,2,13T001       ,200,201,10293,0,1
2020/07/28 00:00:00,No.24SC,2,13T001       ,200,201,11133,0,1
