[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/08/18 01:00:00,No.24SC,12,06T019       ,200,81,0,0,1
2020/08/18 01:17:51,No.24SC,12,06T019       ,200,81,0,0,1
2020/08/18 02:00:00,No.24SC,5,06T025       ,150,149,3686,0,1
2020/08/18 03:00:00,No.24SC,5,06T025       ,150,159,6891,0,1
2020/08/18 04:00:00,No.24SC,5,06T025       ,150,0,5533,0,1
2020/08/18 05:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/08/18 06:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/08/18 07:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/08/18 08:00:00,No.24SC,5,06T025       ,150,0,0,0,1
2020/08/18 09:00:00,No.24SC,5,06T025       ,150,150,2023,0,1
2020/08/18 10:00:00,No.24SC,5,06T025       ,150,159,6249,0,1
2020/08/18 11:00:00,No.24SC,5,06T025       ,150,149,5415,0,1
2020/08/18 12:00:00,No.24SC,5,06T025       ,150,159,5872,0,1
2020/08/18 13:00:00,No.24SC,5,06T025       ,150,81,2622,0,1
2020/08/18 14:00:00,No.24SC,5,06T025       ,150,159,4377,0,1
2020/08/18 15:00:00,No.24SC,5,06T025       ,150,149,5902,0,1
2020/08/18 16:00:00,No.24SC,5,06T025       ,150,149,7008,0,1
2020/08/18 17:00:00,No.24SC,5,06T025       ,150,150,7451,0,1
2020/08/18 18:00:00,No.24SC,5,06T025       ,150,149,5273,0,1
2020/08/18 19:00:00,No.24SC,5,06T025       ,150,159,4802,0,1
2020/08/18 20:00:00,No.24SC,5,06T025       ,150,149,5772,0,1
2020/08/18 21:00:00,No.24SC,5,06T025       ,150,149,7675,0,1
2020/08/18 22:00:00,No.24SC,5,06T025       ,150,149,7669,0,1
2020/08/18 23:00:00,No.24SC,5,06T025       ,150,149,7079,0,1
2020/08/19 00:00:00,No.24SC,5,06T025       ,150,81,533,0,1
