[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/09/30 01:00:00,No.24SC,2,13T001       ,200,204,1443,0,1
2020/09/30 02:00:00,No.24SC,2,13T001       ,200,201,10347,0,1
2020/09/30 03:00:00,No.24SC,2,13T001       ,200,0,7563,0,1
2020/09/30 04:00:00,No.24SC,2,13T001       ,200,200,6358,0,1
2020/09/30 05:00:00,No.24SC,2,13T001       ,200,201,9862,0,1
2020/09/30 06:00:00,No.24SC,2,13T001       ,200,0,2991,0,1
2020/09/30 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/30 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/30 09:00:00,No.24SC,2,13T001       ,200,201,2583,0,1
2020/09/30 10:00:00,No.24SC,2,13T001       ,200,80,7206,0,1
2020/09/30 11:00:00,No.24SC,2,13T001       ,200,201,11138,0,1
2020/09/30 12:00:00,No.24SC,2,13T001       ,200,213,9108,0,1
2020/09/30 13:00:00,No.24SC,2,13T001       ,200,201,4547,0,1
2020/09/30 14:00:00,No.24SC,2,13T001       ,200,81,9936,0,1
2020/09/30 15:00:00,No.24SC,2,13T001       ,200,201,10871,0,1
2020/09/30 16:00:00,No.24SC,2,13T001       ,200,201,8267,0,1
2020/09/30 17:00:00,No.24SC,2,13T001       ,200,49,9876,0,1
2020/09/30 18:00:00,No.24SC,2,13T001       ,200,201,5507,0,1
2020/09/30 19:00:00,No.24SC,2,13T001       ,200,0,6025,0,1
2020/09/30 20:00:00,No.24SC,2,13T001       ,200,201,9560,0,1
2020/09/30 21:00:00,No.24SC,2,13T001       ,200,201,10508,0,1
2020/09/30 22:00:00,No.24SC,2,13T001       ,200,201,9264,0,1
2020/09/30 23:00:00,No.24SC,2,13T001       ,200,201,8491,0,1
2020/10/01 00:00:00,No.24SC,2,13T001       ,200,201,9641,0,1
