[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/11/05 01:00:00,No.24SC,2,13T001       ,200,180,1025,0,1
2020/11/05 02:00:00,No.24SC,2,13T001       ,200,180,8999,0,1
2020/11/05 03:00:00,No.24SC,2,13T001       ,200,180,9984,0,1
2020/11/05 04:00:00,No.24SC,2,13T001       ,200,180,8135,0,1
2020/11/05 05:00:00,No.24SC,2,13T001       ,200,180,9956,0,1
2020/11/05 06:00:00,No.24SC,2,13T001       ,200,0,4133,0,1
2020/11/05 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/11/05 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/11/05 09:00:00,No.24SC,2,13T001       ,200,180,4688,0,1
2020/11/05 10:00:00,No.24SC,2,13T001       ,200,180,8800,0,1
2020/11/05 11:00:00,No.24SC,2,13T001       ,200,180,8559,0,1
2020/11/05 12:00:00,No.24SC,2,13T001       ,200,191,9554,0,1
2020/11/05 13:00:00,No.24SC,2,13T001       ,200,180,3972,0,1
2020/11/05 14:00:00,No.24SC,2,13T001       ,200,180,9480,0,1
2020/11/05 15:00:00,No.24SC,2,13T001       ,200,181,8974,0,1
2020/11/05 16:00:00,No.24SC,2,13T001       ,200,180,9761,0,1
2020/11/05 17:00:00,No.24SC,2,13T001       ,200,180,9785,0,1
2020/11/05 18:00:00,No.24SC,2,13T001       ,200,0,6969,0,1
2020/11/05 19:00:00,No.24SC,2,13T001       ,200,180,9053,0,1
2020/11/05 20:00:00,No.24SC,2,13T001       ,200,180,9357,0,1
2020/11/05 21:00:00,No.24SC,2,13T001       ,200,81,2231,0,1
2020/11/05 22:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/11/05 23:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/11/05 23:58:41,No.24SC,2,13T001       ,200,81,0,0,1
2020/11/06 00:00:00,No.24SC,12,06T019       ,200,81,0,0,1
