[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/11/24 01:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 02:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 03:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 04:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 05:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 06:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 07:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 08:00:00,No.24SC,23,17T005       ,200,81,0,0,1
2020/11/24 09:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/11/24 10:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/11/24 10:07:00,No.24SC,23,17T005       ,200,0,0,0,1
2020/11/24 11:00:00,No.24SC,2,13T001       ,200,81,23,0,1
2020/11/24 12:00:00,No.24SC,2,13T001       ,200,81,245,0,1
2020/11/24 13:00:00,No.24SC,2,13T001       ,200,200,3339,0,1
2020/11/24 14:00:00,No.24SC,2,13T001       ,200,200,4538,0,1
2020/11/24 15:00:00,No.24SC,2,13T001       ,200,81,3382,0,1
2020/11/24 16:00:00,No.24SC,2,13T001       ,200,81,0,0,1
2020/11/24 17:00:00,No.24SC,2,13T001       ,200,81,9,0,1
2020/11/24 18:00:00,No.24SC,2,13T001       ,200,81,1098,0,1
2020/11/24 19:00:00,No.24SC,2,13T001       ,200,201,9603,0,1
2020/11/24 20:00:00,No.24SC,2,13T001       ,200,0,2028,0,1
2020/11/24 21:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/11/24 22:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/11/24 23:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/11/25 00:00:00,No.24SC,2,13T001       ,200,0,0,0,1
