[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/01/14 01:00:00,No.24SC,22,15T019       ,200,81,1024,0,1
2021/01/14 02:00:00,No.24SC,22,15T019       ,200,200,9279,0,1
2021/01/14 03:00:00,No.24SC,22,15T019       ,200,200,9752,0,1
2021/01/14 04:00:00,No.24SC,22,15T019       ,200,80,7729,0,1
2021/01/14 05:00:00,No.24SC,22,15T019       ,200,200,10470,0,1
2021/01/14 06:00:00,No.24SC,22,15T019       ,200,0,5436,0,1
2021/01/14 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/14 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/14 09:00:00,No.24SC,22,15T019       ,200,190,3840,0,1
2021/01/14 10:00:00,No.24SC,22,15T019       ,200,195,10461,0,1
2021/01/14 11:00:00,No.24SC,22,15T019       ,200,195,10931,0,1
2021/01/14 12:00:00,No.24SC,22,15T019       ,200,195,8260,0,1
2021/01/14 13:00:00,No.24SC,22,15T019       ,200,195,5528,0,1
2021/01/14 14:00:00,No.24SC,22,15T019       ,200,195,9074,0,1
2021/01/14 15:00:00,No.24SC,22,15T019       ,200,195,10547,0,1
2021/01/14 16:00:00,No.24SC,22,15T019       ,200,89,5754,0,1
2021/01/14 17:00:00,No.24SC,22,15T019       ,200,190,8581,0,1
2021/01/14 18:00:00,No.24SC,22,15T019       ,200,0,10275,0,1
2021/01/14 19:00:00,No.24SC,22,15T019       ,200,213,9757,0,1
2021/01/14 20:00:00,No.24SC,22,15T019       ,200,200,9115,0,1
2021/01/14 21:00:00,No.24SC,22,15T019       ,200,200,10415,0,1
2021/01/14 22:00:00,No.24SC,22,15T019       ,200,200,7001,0,1
2021/01/14 23:00:00,No.24SC,22,15T019       ,200,200,7506,0,1
2021/01/15 00:00:00,No.24SC,22,15T019       ,200,200,11041,0,1
