[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/01/25 01:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 02:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 03:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 04:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 05:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 06:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 07:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 08:00:00,No.24SC,22,15T019       ,200,0,0,0,1
2021/01/25 09:00:00,No.24SC,22,15T019       ,200,81,2023,0,1
2021/01/25 10:00:00,No.24SC,22,15T019       ,200,80,8344,0,1
2021/01/25 11:00:00,No.24SC,22,15T019       ,200,200,9297,0,1
2021/01/25 12:00:00,No.24SC,22,15T019       ,200,213,8352,0,1
2021/01/25 13:00:00,No.24SC,22,15T019       ,200,200,5739,0,1
2021/01/25 14:00:00,No.24SC,22,15T019       ,200,81,1273,0,1
2021/01/25 14:44:02,No.24SC,22,15T019       ,200,81,0,0,1
2021/01/25 15:00:00,No.24SC,18,10T015       ,200,81,0,0,1
2021/01/25 16:00:00,No.24SC,18,10T015       ,200,81,354,0,1
2021/01/25 17:00:00,No.24SC,18,10T015       ,200,81,8755,0,1
2021/01/25 18:00:00,No.24SC,18,10T015       ,200,213,7204,0,1
2021/01/25 19:00:00,No.24SC,18,10T015       ,200,201,8177,0,1
2021/01/25 20:00:00,No.24SC,18,10T015       ,200,201,3775,0,1
2021/01/25 21:00:00,No.24SC,18,10T015       ,200,213,8393,0,1
2021/01/25 22:00:00,No.24SC,18,10T015       ,200,81,3659,0,1
2021/01/25 23:00:00,No.24SC,18,10T015       ,200,201,7704,0,1
2021/01/26 00:00:00,No.24SC,18,10T015       ,200,213,10513,0,1
