[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/01/26 01:00:00,No.24SC,18,10T015       ,200,81,10,0,1
2021/01/26 02:00:00,No.24SC,18,10T015       ,200,201,10372,0,1
2021/01/26 03:00:00,No.24SC,18,10T015       ,200,212,9891,0,1
2021/01/26 04:00:00,No.24SC,18,10T015       ,200,201,7893,0,1
2021/01/26 05:00:00,No.24SC,18,10T015       ,200,201,10885,0,1
2021/01/26 06:00:00,No.24SC,18,10T015       ,200,0,5243,0,1
2021/01/26 07:00:00,No.24SC,18,10T015       ,200,0,0,0,1
2021/01/26 08:00:00,No.24SC,18,10T015       ,200,0,0,0,1
2021/01/26 09:00:00,No.24SC,18,10T015       ,200,0,3098,0,1
2021/01/26 10:00:00,No.24SC,18,10T015       ,200,201,7091,0,1
2021/01/26 11:00:00,No.24SC,18,10T015       ,200,201,8178,0,1
2021/01/26 12:00:00,No.24SC,18,10T015       ,200,83,4503,0,1
2021/01/26 13:00:00,No.24SC,18,10T015       ,200,81,1,0,1
2021/01/26 14:00:00,No.24SC,18,10T015       ,200,81,0,0,1
2021/01/26 14:13:32,No.24SC,18,10T015       ,200,81,0,0,1
2021/01/26 15:00:00,No.24SC,24,19T001       ,200,81,59,0,1
2021/01/26 16:00:00,No.24SC,24,19T001       ,200,81,1239,0,1
2021/01/26 17:00:00,No.24SC,24,19T001       ,200,190,4405,0,1
2021/01/26 18:00:00,No.24SC,24,19T001       ,200,201,6036,0,1
2021/01/26 19:00:00,No.24SC,24,19T001       ,200,0,7616,0,1
2021/01/26 20:00:00,No.24SC,24,19T001       ,200,201,5127,0,1
2021/01/26 21:00:00,No.24SC,24,19T001       ,200,200,9411,0,1
2021/01/26 22:00:00,No.24SC,24,19T001       ,200,200,11001,0,1
2021/01/26 23:00:00,No.24SC,24,19T001       ,200,201,9467,0,1
2021/01/27 00:00:00,No.24SC,24,19T001       ,200,201,9801,0,1
