[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/01/27 01:00:00,No.24SC,24,19T001       ,200,200,2421,0,1
2021/01/27 02:00:00,No.24SC,24,19T001       ,200,200,9871,0,1
2021/01/27 03:00:00,No.24SC,24,19T001       ,200,200,10989,0,1
2021/01/27 04:00:00,No.24SC,24,19T001       ,200,200,9922,0,1
2021/01/27 05:00:00,No.24SC,24,19T001       ,200,0,10416,0,1
2021/01/27 06:00:00,No.24SC,24,19T001       ,200,0,6504,0,1
2021/01/27 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 10:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 11:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 12:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 13:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 14:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 15:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 16:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 17:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 18:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 19:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/27 20:00:00,No.24SC,24,19T001       ,200,200,6728,0,1
2021/01/27 21:00:00,No.24SC,24,19T001       ,200,201,10973,0,1
2021/01/27 22:00:00,No.24SC,24,19T001       ,200,200,9816,0,1
2021/01/27 23:00:00,No.24SC,24,19T001       ,200,213,8236,0,1
2021/01/28 00:00:00,No.24SC,24,19T001       ,200,200,6187,0,1
