[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/01/29 01:00:00,No.24SC,24,19T001       ,200,200,2396,0,1
2021/01/29 02:00:00,No.24SC,24,19T001       ,200,80,10256,0,1
2021/01/29 03:00:00,No.24SC,24,19T001       ,200,200,10997,0,1
2021/01/29 04:00:00,No.24SC,24,19T001       ,200,200,9895,0,1
2021/01/29 05:00:00,No.24SC,24,19T001       ,200,201,11189,0,1
2021/01/29 06:00:00,No.24SC,24,19T001       ,200,0,5372,0,1
2021/01/29 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/29 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/01/29 09:00:00,No.24SC,24,19T001       ,200,82,3145,0,1
2021/01/29 10:00:00,No.24SC,24,19T001       ,200,200,1289,0,1
2021/01/29 11:00:00,No.24SC,24,19T001       ,200,200,8258,0,1
2021/01/29 12:00:00,No.24SC,24,19T001       ,200,82,9268,0,1
2021/01/29 13:00:00,No.24SC,24,19T001       ,200,81,2166,0,1
2021/01/29 13:39:17,No.24SC,24,19T001       ,200,81,1,0,1
2021/01/29 14:00:00,No.24SC,23,17T005       ,200,81,12,0,1
2021/01/29 15:00:00,No.24SC,23,17T005       ,200,82,2056,0,1
2021/01/29 16:00:00,No.24SC,23,17T005       ,200,213,4705,0,1
2021/01/29 17:00:00,No.24SC,23,17T005       ,200,213,5593,0,1
2021/01/29 18:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2021/01/29 19:00:00,No.24SC,23,17T005       ,200,0,0,0,1
2021/01/29 20:00:00,No.24SC,23,17T005       ,200,201,8300,0,1
2021/01/29 21:00:00,No.24SC,23,17T005       ,200,201,10311,0,1
2021/01/29 22:00:00,No.24SC,23,17T005       ,200,201,9525,0,1
2021/01/29 23:00:00,No.24SC,23,17T005       ,200,201,9640,0,1
2021/01/30 00:00:00,No.24SC,23,17T005       ,200,81,3636,0,1
