[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/10 01:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 02:00:00,No.24SC,15,14T034       ,200,191,4071,0,1
2021/02/10 03:00:00,No.24SC,15,14T034       ,200,81,1245,0,1
2021/02/10 04:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 05:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 06:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 07:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 08:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 09:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 10:00:00,No.24SC,15,14T034       ,200,81,0,0,1
2021/02/10 11:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/10 12:00:00,No.24SC,15,14T034       ,200,0,798,0,1
2021/02/10 13:00:00,No.24SC,15,14T034       ,200,81,28,0,1
2021/02/10 14:00:00,No.24SC,15,14T034       ,200,150,1577,0,1
2021/02/10 15:00:00,No.24SC,15,14T034       ,200,159,8684,0,1
2021/02/10 16:00:00,No.24SC,15,14T034       ,200,181,7546,0,1
2021/02/10 17:00:00,No.24SC,15,14T034       ,200,181,9369,0,1
2021/02/10 18:00:00,No.24SC,15,14T034       ,200,180,4971,0,1
2021/02/10 19:00:00,No.24SC,15,14T034       ,200,181,8698,0,1
2021/02/10 20:00:00,No.24SC,15,14T034       ,200,180,6221,0,1
2021/02/10 21:00:00,No.24SC,15,14T034       ,200,0,9158,0,1
2021/02/10 22:00:00,No.24SC,15,14T034       ,200,180,9280,0,1
2021/02/10 23:00:00,No.24SC,15,14T034       ,200,180,8534,0,1
2021/02/11 00:00:00,No.24SC,15,14T034       ,200,81,9460,0,1
