[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/11 01:00:00,No.24SC,15,14T034       ,200,180,718,0,1
2021/02/11 02:00:00,No.24SC,15,14T034       ,200,180,9921,0,1
2021/02/11 03:00:00,No.24SC,15,14T034       ,200,180,9549,0,1
2021/02/11 04:00:00,No.24SC,15,14T034       ,200,180,8187,0,1
2021/02/11 05:00:00,No.24SC,15,14T034       ,200,180,9798,0,1
2021/02/11 06:00:00,No.24SC,15,14T034       ,200,0,4938,0,1
2021/02/11 07:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/11 08:00:00,No.24SC,15,14T034       ,200,0,0,0,1
2021/02/11 09:00:00,No.24SC,15,14T034       ,200,0,2293,0,1
2021/02/11 10:00:00,No.24SC,15,14T034       ,200,170,6371,0,1
2021/02/11 11:00:00,No.24SC,15,14T034       ,200,170,7075,0,1
2021/02/11 12:00:00,No.24SC,15,14T034       ,200,191,6715,0,1
2021/02/11 13:00:00,No.24SC,15,14T034       ,200,180,3710,0,1
2021/02/11 14:00:00,No.24SC,15,14T034       ,200,170,5086,0,1
2021/02/11 15:00:00,No.24SC,15,14T034       ,200,180,7436,0,1
2021/02/11 16:00:00,No.24SC,15,14T034       ,200,0,6720,0,1
2021/02/11 17:00:00,No.24SC,15,14T034       ,200,170,3183,0,1
2021/02/11 18:00:00,No.24SC,15,14T034       ,200,80,7196,0,1
2021/02/11 19:00:00,No.24SC,15,14T034       ,200,81,8991,0,1
2021/02/11 20:00:00,No.24SC,15,14T034       ,200,0,8985,0,1
2021/02/11 21:00:00,No.24SC,15,14T034       ,200,180,9453,0,1
2021/02/11 22:00:00,No.24SC,15,14T034       ,200,180,8844,0,1
2021/02/11 23:00:00,No.24SC,15,14T034       ,200,81,8946,0,1
2021/02/12 00:00:00,No.24SC,15,14T034       ,200,81,9128,0,1
