[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/02/16 01:00:00,No.24SC,24,19T001       ,200,190,3991,0,1
2021/02/16 02:00:00,No.24SC,24,19T001       ,200,200,9238,0,1
2021/02/16 03:00:00,No.24SC,24,19T001       ,200,201,10736,0,1
2021/02/16 04:00:00,No.24SC,24,19T001       ,200,200,9529,0,1
2021/02/16 05:00:00,No.24SC,24,19T001       ,200,0,10424,0,1
2021/02/16 06:00:00,No.24SC,24,19T001       ,200,0,6685,0,1
2021/02/16 07:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/16 08:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/16 09:00:00,No.24SC,24,19T001       ,200,0,0,0,1
2021/02/16 10:00:00,No.24SC,24,19T001       ,200,200,3923,0,1
2021/02/16 11:00:00,No.24SC,24,19T001       ,200,81,9318,0,1
2021/02/16 12:00:00,No.24SC,24,19T001       ,200,213,9320,0,1
2021/02/16 13:00:00,No.24SC,24,19T001       ,200,201,4988,0,1
2021/02/16 14:00:00,No.24SC,24,19T001       ,200,12,10037,0,1
2021/02/16 15:00:00,No.24SC,24,19T001       ,200,201,10384,0,1
2021/02/16 16:00:00,No.24SC,24,19T001       ,200,200,9667,0,1
2021/02/16 17:00:00,No.24SC,24,19T001       ,200,201,10650,0,1
2021/02/16 18:00:00,No.24SC,24,19T001       ,200,201,8229,0,1
2021/02/16 19:00:00,No.24SC,24,19T001       ,200,0,10317,0,1
2021/02/16 20:00:00,No.24SC,24,19T001       ,200,201,9500,0,1
2021/02/16 21:00:00,No.24SC,24,19T001       ,200,0,9668,0,1
2021/02/16 22:00:00,No.24SC,24,19T001       ,200,201,10021,0,1
2021/02/16 23:00:00,No.24SC,24,19T001       ,200,200,7346,0,1
2021/02/17 00:00:00,No.24SC,24,19T001       ,200,200,9597,0,1
