[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/13 01:00:00,No.24SC,2,13T001       ,200,200,2258,0,1
2021/03/13 02:00:00,No.24SC,2,13T001       ,200,200,9902,0,1
2021/03/13 03:00:00,No.24SC,2,13T001       ,200,200,10659,0,1
2021/03/13 04:00:00,No.24SC,2,13T001       ,200,0,6093,0,1
2021/03/13 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/13 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/13 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/13 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/13 09:00:00,No.24SC,2,13T001       ,200,180,2151,0,1
2021/03/13 10:00:00,No.24SC,2,13T001       ,200,200,8940,0,1
2021/03/13 11:00:00,No.24SC,2,13T001       ,200,201,10004,0,1
2021/03/13 12:00:00,No.24SC,2,13T001       ,200,0,8768,0,1
2021/03/13 13:00:00,No.24SC,2,13T001       ,200,200,4276,0,1
2021/03/13 14:00:00,No.24SC,2,13T001       ,200,81,9638,0,1
2021/03/13 15:00:00,No.24SC,2,13T001       ,200,201,10781,0,1
2021/03/13 16:00:00,No.24SC,2,13T001       ,200,0,10053,0,1
2021/03/13 17:00:00,No.24SC,2,13T001       ,200,83,8730,0,1
2021/03/13 18:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/13 19:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/13 20:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/13 21:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/13 22:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/13 23:00:00,No.24SC,2,13T001       ,200,82,0,0,1
2021/03/14 00:00:00,No.24SC,2,13T001       ,200,82,0,0,1
