[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/16 01:00:00,No.24SC,2,13T001       ,200,0,2213,0,1
2021/03/16 02:00:00,No.24SC,2,13T001       ,200,200,10097,0,1
2021/03/16 03:00:00,No.24SC,2,13T001       ,200,200,9620,0,1
2021/03/16 04:00:00,No.24SC,2,13T001       ,200,200,10751,0,1
2021/03/16 05:00:00,No.24SC,2,13T001       ,200,0,10020,0,1
2021/03/16 06:00:00,No.24SC,2,13T001       ,200,0,4642,0,1
2021/03/16 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/16 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/16 09:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/16 10:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2021/03/16 11:00:00,No.24SC,2,13T001       ,200,201,9322,0,1
2021/03/16 12:00:00,No.24SC,2,13T001       ,200,212,8134,0,1
2021/03/16 13:00:00,No.24SC,2,13T001       ,200,201,4209,0,1
2021/03/16 14:00:00,No.24SC,2,13T001       ,200,81,8798,0,1
2021/03/16 15:00:00,No.24SC,2,13T001       ,200,201,10191,0,1
2021/03/16 16:00:00,No.24SC,2,13T001       ,200,200,6715,0,1
2021/03/16 17:00:00,No.24SC,2,13T001       ,200,201,10949,0,1
2021/03/16 18:00:00,No.24SC,2,13T001       ,200,81,7488,0,1
2021/03/16 19:00:00,No.24SC,2,13T001       ,200,201,10572,0,1
2021/03/16 20:00:00,No.24SC,2,13T001       ,200,201,7805,0,1
2021/03/16 21:00:00,No.24SC,2,13T001       ,200,200,9558,0,1
2021/03/16 22:00:00,No.24SC,2,13T001       ,200,200,10515,0,1
2021/03/16 23:00:00,No.24SC,2,13T001       ,200,200,9072,0,1
2021/03/17 00:00:00,No.24SC,2,13T001       ,200,200,10265,0,1
