[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2021/03/31 01:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 02:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 03:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 04:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 05:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 06:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 07:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 08:00:00,No.24SC,7,94T012       ,200,4,0,0,1
2021/03/31 09:00:00,No.24SC,7,94T012       ,200,81,4281,0,1
2021/03/31 10:00:00,No.24SC,7,94T012       ,200,81,1,0,1
2021/03/31 10:19:32,No.24SC,7,94T012       ,200,81,0,0,1
2021/03/31 11:00:00,No.24SC,12,06T019       ,200,150,1770,0,1
2021/03/31 12:00:00,No.24SC,12,06T019       ,200,150,8014,0,1
2021/03/31 13:00:00,No.24SC,12,06T019       ,200,156,3232,0,1
2021/03/31 14:00:00,No.24SC,12,06T019       ,200,150,7581,0,1
2021/03/31 15:00:00,No.24SC,12,06T019       ,200,150,7168,0,1
2021/03/31 16:00:00,No.24SC,12,06T019       ,200,150,6828,0,1
2021/03/31 17:00:00,No.24SC,12,06T019       ,200,81,7639,0,1
2021/03/31 18:00:00,No.24SC,12,06T019       ,200,150,4702,0,1
2021/03/31 19:00:00,No.24SC,12,06T019       ,200,150,5317,0,1
2021/03/31 20:00:00,No.24SC,12,06T019       ,200,0,556,0,1
2021/03/31 21:00:00,No.24SC,12,06T019       ,200,0,0,0,1
2021/03/31 22:00:00,No.24SC,12,06T019       ,200,0,0,0,1
2021/03/31 23:00:00,No.24SC,12,06T019       ,200,0,0,0,1
2021/04/01 00:00:00,No.24SC,12,06T019       ,200,0,0,0,1
